antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Mas de 79 Años'}),frozenset({'Mujer'}),0.043387590969500914,0.5769100924331323,0.027576098150910014,0.63557569191372,1.1016893277653788,1.0,0.002545359034244306,1.160981576088218,0.0964895372997142,0.046524538395541486,0.13865988866991782,0.34168766892113434
frozenset({'Mexico City'}),frozenset({'Mujer'}),0.010602246941330815,0.5769100924331323,0.0057647848141294915,0.543732365981459,0.9424906464857541,1.0,-0.00035175844879256277,0.9272845058952285,-0.05808981709047896,0.009909426810545569,-0.07841767401750102,0.27686244227769774
frozenset({'Miami'}),frozenset({'Mujer'}),0.006589546466558693,0.5769100924331323,0.0036110030896511643,0.5479896238651103,0.9498700595684689,1.0,-0.00019057277146363122,0.9360181312311479,-0.05044569074955371,0.006227063037038128,-0.06835537329249866,0.2771244183799148
frozenset({'OMNI TOURS COLOMBIA LTDA'}),frozenset({'Mujer'}),0.005640856897443239,0.5769100924331323,0.003705017371275218,0.6568181818181817,1.1385104723129997,1.0,0.000450750097169167,1.232844763771005,0.1223495310383464,0.00640069691555805,0.1888678693485977,0.33162017823436996
frozenset({'PACIFICO'}),frozenset({'Mujer'}),0.11363335284841906,0.5769100924331323,0.07404479353181742,0.6516114474822308,1.1294852630052694,1.0,0.008488565436549245,1.214419660201919,0.12933806780249463,0.1201053616608325,0.17656142042880618,0.38997932245519895
frozenset({'PRICE RES S.A.S.'}),frozenset({'Mujer'}),0.11249236133961804,0.5769100924331323,0.06423312123141615,0.5709998480474092,0.989755345827291,1.0,-0.0006648573470442037,0.98622321143985,-0.011528203367257553,0.10274515701259108,-0.013969239823545029,0.3411698820240157
frozenset({'Panama City'}),frozenset({'Mujer'}),0.010029614498711576,0.5769100924331323,0.005786151696316777,0.5769066893907115,0.9999941012603777,1.0,-3.413120360298838e-08,0.9999919567567357,-5.95850073518196e-06,0.009956321602423638,-8.04330795862503e-06,0.2934681223636693
frozenset({'Punta Cana'}),frozenset({'Mujer'}),0.025264201498245778,0.5769100924331323,0.013632070835487828,0.5395805142083897,0.9352939414401572,1.0,-0.0009431019861144228,0.9189226794766061,-0.06627203049546185,0.023162434742199922,-0.08823084067265961,0.28160498440251114
frozenset({'Quindío'}),frozenset({'Mujer'}),0.005892986107253202,0.5769100924331323,0.0036964706184003044,0.6272661348803481,1.0872857714012907,1.0,0.00029674745855769484,1.135099187810721,0.0807544775399181,0.006383057226137329,0.11901972026892944,0.316836747412915
frozenset({'SERVINCLUIDOS LTDA'}),frozenset({'Mujer'}),0.03578525428726491,0.5769100924331323,0.020841256885477784,0.5823978982565082,1.0095124108511102,1.0,0.00019638252686864088,1.0131412313311268,0.009772488506195122,0.035213504888157235,0.012970779319543586,0.3092617782924825
frozenset({'SOLARIS MAYORISTA DE TURISMO'}),frozenset({'Mujer'}),0.012072288435816023,0.5769100924331323,0.006734841265432231,0.5578761061946903,0.9670070146317502,1.0,-0.00022978377195382454,0.9569487501012021,-0.033382694530253665,0.011566972477064223,-0.04498804130758837,0.2847750468973911
frozenset({'San Andrés'}),frozenset({'Mujer'}),0.07694214275641327,0.5769100924331323,0.042015837133077216,0.5460705359622328,0.9465435656692485,1.0,-0.0023728615565284245,0.9320609061227767,-0.0576554265919341,0.06867168620000838,-0.07289126003561185,0.30944981305856023
frozenset({'Santa Marta'}),frozenset({'Mujer'}),0.05066087766605273,0.5769100924331323,0.03054609477494263,0.6029523407844791,1.0451409131040037,1.0,0.0013193231578765459,1.065589728957981,0.045496093959311854,0.051163856042603144,0.06155251610966626,0.3279500483635138
frozenset({'TOUR VACATION GROUP HOTELES AZUL S.A.S'}),frozenset({'Mujer'}),0.01747383625276167,0.5769100924331323,0.010170635921147657,0.5820494008314991,1.00890833505216,1.0,8.980343340550534e-05,1.0122964494095505,0.008986709620477875,0.01740911418330773,0.012147083412890442,0.2998394499361235
frozenset({'UNIVERSAL TRAVEL ASISTANCE'}),frozenset({'Mujer'}),0.006157935446375536,0.5769100924331323,0.0033759673855910293,0.5482303955586398,0.9502874065635858,1.0,-0.00017660772197474308,0.936516984337721,-0.050005214375195534,0.005823725415032583,-0.06778629402772918,0.27704110203188104
"frozenset({'AEROVIAS DE INTEGRACION REGIONAL LAN COLOMBIA', 'Entre 25 y 32 Años'})",frozenset({'ANDINA'}),0.005281893276696851,0.5312020580580923,0.0030853777878439535,0.5841423948220065,1.0996613924227767,1.0,0.0002796252088193853,1.1273040004673112,0.09111039917241305,0.005784375776123827,0.11292783527295097,0.2949753444686437
